xxx,xxx
300,6.453555909306028e-05
301,0.0002581422363722411
302,2.1511853031020093e-05
303,0.00010755926515510046
304,2.1511853031020093e-05
305,4.3023706062040185e-05
306,6.453555909306028e-05
307,0.00017209482424816074
308,2.1511853031020093e-05
309,0.003334337219808114
310,0.0015918771242954869
311,0.000473260766682442
312,0.0010325689454889644
313,0.00015058297121714064
314,8.604741212408037e-05
315,0.00010755926515510046
316,2.1511853031020093e-05
317,4.3023706062040185e-05
318,0.00015058297121714064
319,6.453555909306028e-05
320,0.00043023706062040185
321,6.453555909306028e-05
322,0.000709891150023663
323,2.1511853031020093e-05
324,4.3023706062040185e-05
325,0.002022114184915889
326,0.010519296132168825
327,0.0003657015015273416
328,0.00015058297121714064
329,0.00010755926515510046
330,0.0003441896484963215
331,0.002086649744008949
332,8.604741212408037e-05
333,0.00466807210773136
334,0.0003441896484963215
335,4.3023706062040185e-05
336,0.000236630383341221
