# 节点数  边数   ,108363  293298
34610,42369
34610,30302
34610,85884
34610,50585
34610,50751
34610,28217
34610,105904
34610,95414
34610,75752
34610,528
34610,28973
34610,53562
34610,104653
34610,55510
34610,52739
34610,84611
34610,67716
34610,25530
34610,24937
34610,55633
34610,91279
34610,96969
34610,100022
34610,93580
34610,27586
34610,53850
34610,92696
34610,26902
34610,80738
34610,46955
34610,9848
34610,79132
34610,47339
34610,4493
34610,42912
34610,48380
34610,16771
34610,103074
34610,82971
34610,45309
34610,84381
34610,36747
34610,18309
34610,46904
34610,92830
34610,96272
34610,23723
34610,1700
34610,26545
34610,34062
34610,3338
34610,37651
34610,8885
34610,52448
34610,99267
34610,49909
34610,46434
34610,30848
34610,10785
34610,82173
34610,51054
34610,92764
34610,47047
34610,40989
34610,37986
34610,12190
34610,88964
34610,20447
34610,95023
34610,50871
34610,29568
34610,100154
34610,24919
34610,82517
34610,66629
34610,42991
34610,86239
34610,86176
34610,68519
34610,76808
34610,75594
34610,91786
34610,42138
34610,83029
34610,52565
34610,27275
34610,99981
34610,29069
34610,83737
34610,102550
34610,77906
34610,93326
34610,82400
34610,71723
34610,23761
34610,34650
34610,44635
34610,31611
34610,25290
34610,96233
34610,52551
34610,30042
34610,55549
34610,45672
34610,31306
34610,71983
34610,49335
34610,84260
34610,86030
34610,14481
34610,98965
34610,79535
34610,12095
34610,11682
34610,40982
34610,25053
34610,34486
34610,20786
34610,23672
34610,76807
34610,34160
34610,46881
34610,24042
34610,96166
34610,42615
34610,52735
34610,54852
34610,91302
34610,47202
34610,88261
34610,56502
34610,45584
34610,51133
34610,6739
34610,90054
34610,87978
34610,8254
34610,25648
34610,76278
34610,19793
34610,48272
34610,47275
34610,42774
34610,34936
34610,165
34610,79480
34610,88334
34610,82306
34610,91769
34610,105153
34610,17518
34610,10949
34610,62740
34610,14674
34610,45776
34610,6097
34610,23508
34610,9972
34610,85697
34610,63743
34610,59799
34610,105813
34610,61089
34610,86259
34610,80521
34610,93786
34610,80588
34610,18065
34610,88081
34610,38490
34610,68494
34610,84454
34610,48595
34610,48269
34610,56173
34610,18258
34610,51855
34610,16566
34610,71703
34610,86017
34610,4295
34610,97777
34610,82307
34610,82088
34610,48499
34610,33831
34610,97742
34610,49775
34610,47280
34610,100873
34610,77001
34610,11266
34610,84623
34610,86613
34610,21637
34610,91724
34610,10648
34610,47110
34610,22178
34610,95724
34610,80286
34610,84960
34610,11944
34610,82196
34610,93270
34610,85083
34610,46835
34610,71121
34610,52932
34610,36040
34610,10001
34610,92765
34610,52373
34610,105544
34610,3594
34610,20470
34610,72077
34610,1199
34610,47404
34610,94461
34610,17167
34610,48440
34610,46834
34610,43117
34610,1188
34610,53501
34610,86552
34610,90916
34610,24261
34610,87633
34610,53520
34610,61339
34610,92126
34610,55494
34610,86080
34610,9203
34610,46151
34610,50292
34610,88237
34610,46437
34610,91445
34610,86342
34610,45533
34610,7764
34610,91933
34610,64900
34610,65557
34610,82394
34610,90566
34610,48131
34610,16880
34610,9136
34610,76630
34610,49154
34610,98173
34610,105459
34610,92525
34610,78473
34610,35282
34610,83921
34610,25845
34610,86095
34610,91086
34610,84123
34610,90207
34610,100283
34610,55539
34610,6755
34610,38824
34610,44655
34610,6690
34610,100488
34610,6481
34610,95760
34610,82954
34610,67894
34610,100710
34610,53006
34610,47240
34610,91370
34610,94033
34610,75413
34610,31176
34610,82312
34610,48573
34610,12162
34610,35011
34610,97842
34610,52169
34610,78964
34610,67359
34610,55655
34610,34820
34610,34914
34610,25217
34610,22639
34610,92373
34610,93400
34610,86327
34610,86437
34610,75503
34610,54152
34610,11901
34610,77827
34610,3136
34610,104731
34610,71024
34610,46224
34610,24823
34610,26080
34610,89280
34610,24460
34610,92778
34610,93988
34610,34655
34610,24981
34610,83181
34610,2653
34610,41751
34610,87789
34610,95528
34610,51861
34610,2662
34610,92562
34610,56958
34610,60824
34610,25057
34610,40987
34610,45598
34610,38016
34610,33750
34610,29342
34610,52304
34610,52334
34610,44624
34610,83808
34610,100300
34610,35654
34610,46805
34610,86683
34610,106079
34610,102419
34610,4844
34610,85544
34610,48260
34610,31868
34610,25013
34610,80395
34610,75363
34610,77989
34610,95486
34610,23606
34610,88647
34610,6478
34610,69126
34610,80243
34610,28325
34610,55861
34610,85982
34610,50743
34610,52230
34610,26327
34610,56471
34610,35969
34610,49342
34610,24139
34610,92109
34610,37023
34610,55159
34610,102017
34610,23291
34610,93450
34610,77937
34610,34674
34610,88753
34610,45159
34610,75573
34610,104621
34610,35191
34610,52690
34610,76564
34610,29352
34610,90077
34610,85953
34610,82044
34610,22457
34610,36024
34610,3448
34610,48457
34610,37981
34610,77617
34610,83194
34610,54991
34610,93613
34610,75332
34610,25156
34610,31944
34610,16917
34610,45957
34610,50085
34610,40826
34610,23970
34610,36752
